"","x"
"1",187.030491382939
"2",136.517082484444
"3",118.403998291451
"4",69.6358023938634
"5",73.7965938166977
"6",62.9904878127627
"7",56.6171331360528
"8",51.0238399156029
"9",52.6469727376653
"10",44.632206480371
"11",41.6217069921881
"12",37.7200449171334
"13",46.2628437968133
"14",39.2815057116009
"15",34.9992776135692
"16",39.188180419841
"17",32.2615528061127
"18",28.6123780750022
"19",30.9842491400905
"20",27.5555784012306
"21",28.5036345482733
"22",28.1226653725184
"23",31.0105673117161
"24",26.4089076290527
"25",26.8310736471215
"26",25.2920265004642
"27",26.556110117945
"28",22.0087815250151
"29",26.6225135380251
"30",21.1813201300794
"31",22.6263668928174
"32",23.1344682723615
"33",23.1442940816882
"34",22.1703451522782
"35",21.9677513845981
"36",20.8600054232456
"37",22.7383770461587
"38",20.0047720233979
"39",22.4590670195465
"40",20.3989680976336
"41",18.9232154244635
"42",19.5796786058577
"43",18.4753080943191
"44",19.2860187120335
"45",22.0768201518776
"46",20.4383232679568
"47",20.5877610901765
"48",18.0550281008786
"49",17.8620304362917
"50",17.6759500513278
